PHONE_CCODE,C_CODE
93,AFG
355,ALB
213,DZA
1,ASM
376,AND
244,AGO
1,AIA
672,ATA
1,ATG
54,ARG
374,ARM
297,ABW
61,AUS
43,AUT
994,AZE
1,BHS
973,BHR
880,BGD
1,BRB
375,BLR
32,BEL
501,BLZ
229,BEN
1,BMU
975,BTN
591,BOL
387,BIH
267,BWA
55,BRA
246,IOT
1,VGB
673,BRN
359,BGR
226,BFA
257,BDI
855,KHM
237,CMR
1,CAN
238,CPV
1,CYM
236,CAF
235,TCD
56,CHL
86,CHN
61,CXR
61,CCK
57,COL
269,COM
682,COK
506,CRI
385,HRV
53,CUB
599,CUW
357,CYP
420,CZE
243,COD
45,DNK
253,DJI
1,DMA
1,DOM
670,TLS
593,ECU
20,EGY
503,SLV
240,GNQ
291,ERI
372,EST
251,ETH
500,FLK
298,FRO
679,FJI
358,FIN
33,FRA
689,PYF
241,GAB
220,GMB
995,GEO
49,DEU
233,GHA
350,GIB
30,GRC
299,GRL
1,GRD
1,GUM
502,GTM
44,GGY
224,GIN
245,GNB
592,GUY
509,HTI
504,HND
852,HKG
36,HUN
354,ISL
91,IND
62,IDN
98,IRN
964,IRQ
353,IRL
44,IMN
972,ISR
39,ITA
225,CIV
1,JAM
81,JPN
44,JEY
962,JOR
7,KAZ
254,KEN
686,KIR
383,XKX
965,KWT
996,KGZ
856,LAO
371,LVA
961,LBN
266,LSO
231,LBR
218,LBY
423,LIE
370,LTU
352,LUX
853,MAC
389,MKD
261,MDG
265,MWI
60,MYS
960,MDV
223,MLI
356,MLT
692,MHL
222,MRT
230,MUS
262,MYT
52,MEX
691,FSM
373,MDA
377,MCO
976,MNG
382,MNE
1,MSR
212,MAR
258,MOZ
95,MMR
264,NAM
674,NRU
977,NPL
31,NLD
599,ANT
687,NCL
64,NZL
505,NIC
227,NER
234,NGA
683,NIU
850,PRK
1,MNP
47,NOR
968,OMN
92,PAK
680,PLW
970,PSE
507,PAN
675,PNG
595,PRY
51,PER
63,PHL
64,PCN
48,POL
351,PRT
1,PRI
974,QAT
242,COG
262,REU
40,ROU
7,RUS
250,RWA
590,BLM
290,SHN
1,KNA
1,LCA
590,MAF
508,SPM
1,VCT
685,WSM
378,SMR
239,STP
966,SAU
221,SEN
381,SRB
248,SYC
232,SLE
65,SGP
1,SXM
421,SVK
386,SVN
677,SLB
252,SOM
27,ZAF
82,KOR
211,SSD
34,ESP
94,LKA
249,SDN
597,SUR
47,SJM
268,SWZ
46,SWE
41,CHE
963,SYR
886,TWN
992,TJK
255,TZA
66,THA
228,TGO
690,TKL
676,TON
1,TTO
216,TUN
90,TUR
993,TKM
1,TCA
688,TUV
1,VIR
256,UGA
380,UKR
971,ARE
44,GBR
1,USA
598,URY
998,UZB
678,VUT
379,VAT
58,VEN
84,VNM
681,WLF
212,ESH
967,YEM
260,ZMB
263,ZWE
